Method,configuration,Raw,Fine,Prior,Ordered,Final_fusion,dataset,channel_set,group,task,Acc_mean,Acc_std_seed,Acc_n_seeds,Macro_F1_mean,Macro_F1_std_seed,Macro_F1_n_seeds,E_F1_mean,E_F1_std_seed,E_F1_n_seeds,M_F1_mean,M_F1_std_seed,M_F1_n_seeds,L_F1_mean,L_F1_std_seed,L_F1_n_seeds,M_Pre_mean,M_Pre_std_seed,M_Pre_n_seeds,M_Rec_mean,M_Rec_std_seed,M_Rec_n_seeds,M_to_E_mean,M_to_E_std_seed,M_to_E_n_seeds,M_to_L_mean,M_to_L_std_seed,M_to_L_n_seeds,Rev_mean,Rev_std_seed,Rev_n_seeds,Jump_mean,Jump_std_seed,Jump_n_seeds,Smooth_mean,Smooth_std_seed,Smooth_n_seeds,q_MAE_mean,q_MAE_std_seed,q_MAE_n_seeds,q_RMSE_mean,q_RMSE_std_seed,q_RMSE_n_seeds,q_R2_mean,q_R2_std_seed,q_R2_n_seeds,Spearman_mean,Spearman_std_seed,Spearman_n_seeds,Pearson_mean,Pearson_std_seed,Pearson_n_seeds,q_Smooth_mean,q_Smooth_std_seed,q_Smooth_n_seeds,deterministic,Acc_display,Macro_F1_display,E_F1_display,M_F1_display,L_F1_display,M_Pre_display,M_Rec_display,Smooth_display
A1,Raw stage head only,Y,,,,,mendeley,primary,cross_machine_dual,D1-M,0.40607449856733524,0.08463603311432556,5,0.3413682489941162,0.11470007573005776,5,0.6116930186893482,0.10570314243735883,5,0.2515455928883603,0.1527695778081427,5,0.16086613540463995,0.19131704803633193,5,0.3018939779861785,0.14161797656181876,5,0.23165905631659056,0.18957686023420262,5,0.6621004566210045,0.23089857314649373,5,0.10624048706240488,0.1304255037387683,5,20.6,13.594116374373144,5,11.2,9.549869109050658,5,0.04394484953908492,0.025358036613156033,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False,0.4061 ± 0.0846,0.3414 ± 0.1147,0.6117 ± 0.1057,0.2515 ± 0.1528,0.1609 ± 0.1913,0.3019 ± 0.1416,0.2317 ± 0.1896,0.0439 ± 0.0254
A2,Raw + fine-state head,Y,Y,,,,mendeley,primary,cross_machine_dual,D1-M,0.42773638968481376,0.09013599811856295,5,0.3669030081079777,0.11500629402107959,5,0.6414842753728512,0.11545931836625356,5,0.3121887576401212,0.14996921209789202,5,0.14703599131096054,0.17352089470325988,5,0.34122957378150687,0.12812608391612795,5,0.3068493150684931,0.21089487081142727,5,0.6006088280060883,0.24209909971082605,5,0.09254185692541857,0.11099846252686725,5,19.8,12.477980605851252,5,8.0,7.314369419163897,5,0.03215995162867884,0.02236146641605617,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False,0.4277 ± 0.0901,0.3669 ± 0.1150,0.6415 ± 0.1155,0.3122 ± 0.1500,0.1470 ± 0.1735,0.3412 ± 0.1281,0.3068 ± 0.2109,0.0322 ± 0.0224
A3,Raw + degradation-position prior,Y,,Y,,,mendeley,primary,cross_machine_dual,D1-M,0.42739255014326644,0.08560423081999496,5,0.36707977441603423,0.11514278581135369,5,0.6353645678888235,0.10884671733689638,5,0.3139980197190714,0.14188275410970005,5,0.15187673564020782,0.18680929320124745,5,0.34197158017384044,0.12632274948564273,5,0.30624048706240486,0.19280608265095295,5,0.6054794520547946,0.23454303809871704,5,0.0882800608828006,0.10082493249119753,5,23.8,14.872793954062566,5,1.8,2.4899799195977463,5,0.0352389964593871,0.022006774730750786,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False,0.4274 ± 0.0856,0.3671 ± 0.1151,0.6354 ± 0.1088,0.3140 ± 0.1419,0.1519 ± 0.1868,0.3420 ± 0.1263,0.3062 ± 0.1928,0.0352 ± 0.0220
A4,Mix (raw + fine + prior),Y,Y,Y,,,mendeley,primary,cross_machine_dual,D1-M,0.4270487106017192,0.08689500908993864,5,0.36655181730212844,0.11519458407649288,5,0.6365183647734863,0.11126780503717816,5,0.3120131290261258,0.14472930643296322,5,0.1511239581067732,0.1841626451494149,5,0.3416529464395249,0.12813010624412355,5,0.30441400304414,0.19906848765769586,5,0.6045662100456621,0.23784115611334186,5,0.09101978691019787,0.1056847207930507,5,21.8,13.899640283115243,5,2.8,3.8340579025361627,5,0.03397323049469754,0.021874748022662104,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False,0.4270 ± 0.0869,0.3666 ± 0.1152,0.6365 ± 0.1113,0.3120 ± 0.1447,0.1511 ± 0.1842,0.3417 ± 0.1281,0.3044 ± 0.1991,0.0340 ± 0.0219
A5,Causal ordered filtering of the mix,Y,Y,Y,Y,,mendeley,primary,cross_machine_dual,D1-M,0.4414899713467049,0.08852393679203972,5,0.3835670707995524,0.11645406182555469,5,0.6547547446094372,0.11668823126203566,5,0.3480370201632324,0.1391128623385647,5,0.14790944762598768,0.18058787732843806,5,0.3622927670434771,0.11919902238178187,5,0.35525114155251136,0.2035440733772319,5,0.5595129375951293,0.24622887510105637,5,0.0852359208523592,0.1035287364824561,5,12.6,10.644247272588137,5,0.2,0.4472135954999579,5,0.0313689964704823,0.021986674946423614,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False,0.4415 ± 0.0885,0.3836 ± 0.1165,0.6548 ± 0.1167,0.3480 ± 0.1391,0.1479 ± 0.1806,0.3623 ± 0.1192,0.3553 ± 0.2035,0.0314 ± 0.0220
A6,Final fusion (DC-PSR),Y,Y,Y,Y,Y,mendeley,primary,cross_machine_dual,D1-M,0.43954154727793693,0.08988278816462159,5,0.381593000669353,0.1180418557424851,5,0.6533584818012855,0.1176564572050477,5,0.3425851077402168,0.1438166584287052,5,0.14883541246655663,0.17874679623176074,5,0.3589750871000128,0.12464269665006401,5,0.3476407914764079,0.20640077569339393,5,0.5646879756468797,0.25015025057591767,5,0.08767123287671233,0.10505922207182895,5,13.6,10.4546640309481,5,1.6,1.140175425099138,5,0.03126983652357438,0.020577918861516477,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False,0.4395 ± 0.0899,0.3816 ± 0.1180,0.6534 ± 0.1177,0.3426 ± 0.1438,0.1488 ± 0.1787,0.3590 ± 0.1246,0.3476 ± 0.2064,0.0313 ± 0.0206
A1,Raw stage head only,Y,,,,,mendeley,primary,cross_machine_dual,D2-M,0.6791712104689205,0.12246385161661177,5,0.6623558775295,0.13079128559121314,5,0.833213592366796,0.09470412559807108,5,0.5192282762638224,0.3275485187340991,5,0.6346257639578815,0.11853721612318033,5,0.5984961996773714,0.3532712864423598,5,0.5395759717314488,0.43496792566269155,5,0.1489399293286219,0.2567995523045241,5,0.31148409893992934,0.43936869140020857,5,26.4,16.102794788483145,5,0.8,1.7888543819998317,5,0.01648786360332858,0.007632302966068828,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False,0.6792 ± 0.1225,0.6624 ± 0.1308,0.8332 ± 0.0947,0.5192 ± 0.3275,0.6346 ± 0.1185,0.5985 ± 0.3533,0.5396 ± 0.4350,0.0165 ± 0.0076
A2,Raw + fine-state head,Y,Y,,,,mendeley,primary,cross_machine_dual,D2-M,0.5951290439840058,0.10306462171712441,5,0.4570586310278606,0.14707421040668311,5,0.698179677756005,0.39072301081259014,5,0.6729962153275768,0.05063889507879846,5,0.0,0.0,5,0.5105981405671682,0.05586298422027054,5,0.9939929328621908,0.013432210465546485,5,0.00600706713780918,0.013432210465546423,5,0.0,0.0,5,4.2,4.604345773288535,5,0.0,0.0,5,0.0104362566697024,0.004718025382894383,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False,0.5951 ± 0.1031,0.4571 ± 0.1471,0.6982 ± 0.3907,0.6730 ± 0.0506,0.0000 ± 0.0000,0.5106 ± 0.0559,0.9940 ± 0.0134,0.0104 ± 0.0047
A3,Raw + degradation-position prior,Y,,Y,,,mendeley,primary,cross_machine_dual,D2-M,0.5669211195928753,0.14646525762014975,5,0.42331397034383783,0.21873979687303408,5,0.5306313526681231,0.4847061718139116,5,0.6629286488156516,0.07688747053342278,5,0.07638190954773869,0.1707951419999839,5,0.4997606102562634,0.08600269998970647,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5,5.2,7.918333157931662,5,0.0,0.0,5,0.01285947066349762,0.00774808510825795,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False,0.5669 ± 0.1465,0.4233 ± 0.2187,0.5306 ± 0.4847,0.6629 ± 0.0769,0.0764 ± 0.1708,0.4998 ± 0.0860,1.0000 ± 0.0000,0.0129 ± 0.0077
A4,Mix (raw + fine + prior),Y,Y,Y,,,mendeley,primary,cross_machine_dual,D2-M,0.5727371864776445,0.12735481919043873,5,0.43726460761041375,0.1832063913836439,5,0.5894819754987745,0.41489210310144925,5,0.6641377496679233,0.0665254488848797,5,0.058174097664543525,0.13008123690763107,5,0.5001074824537282,0.07400161926496394,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5,6.0,8.573214099741124,5,0.0,0.0,5,0.0121114992915928,0.0067809734618869116,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False,0.5727 ± 0.1274,0.4373 ± 0.1832,0.5895 ± 0.4149,0.6641 ± 0.0665,0.0582 ± 0.1301,0.5001 ± 0.0740,1.0000 ± 0.0000,0.0121 ± 0.0068
